tau,bt,hh,RGIId,GLIMSId,CenLon,CenLat,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,TermType,Surging,Linkages,Name,delz,Zela,abl_area,accu_area,hf_method,hf
18.494843495025837,-4.3390052356020945,32.05915172849031,RGI60-01.00036,G213355E63399N,-146.645,63.399,2,3.798,1288,2252,1945,15.0,220,3707,0,9,9,,964,1900,1.5192,2.2788,hf_millan,80.24922275655844
50.598546093913136,-7.288394415357766,-38.85338941905444,RGI60-01.00037,G213472E63469N,-146.528167725,63.469173431,2,234.583,722,3081,1841,12.0,30,41911,0,3,9,Black Rapids Glacier,2359,1750,93.8332,140.7498,hf_millan,368.78216077609903
37.401960194460756,-6.37380017452007,-21.684762765535744,RGI60-01.00038,G213531E63603N,-146.469,63.603,2,138.555,851,3857,2088,17.0,28,29601,0,2,9,Trident Glacier,3006,1750,55.422000000000004,83.133,hf_millan,238.39262041484665
21.561003393970633,-4.331915357766143,-21.684762765535744,RGI60-01.00039,G213938E63395N,-146.062,63.395,2,8.106,1039,2280,1761,17.0,350,6170,0,9,9,,1241,1650,3.2424,4.8636,hf_millan,93.40044173118933
42.90590758683927,-4.097949389179756,21.04534800285778,RGI60-01.00040,G212371E63539N,-147.629,63.539,2,27.448,972,2650,1771,14.0,220,15456,0,9,9,Nenana Glacier,1678,1550,10.9792,16.468799999999998,hf_millan,175.82623778769104
65.39208063088128,-4.268106457242583,21.04534800285778,RGI60-01.00041,G212893E63657N,-147.107,63.657,2,90.905,948,3734,1705,14.0,3,26158,0,9,9,Gillam Glacier,2786,1550,36.362,54.543,hf_millan,279.100361593192
52.65469327602502,-4.0412303664921465,32.05915172849031,RGI60-01.00042,G212421E63594N,-147.579269409,63.594097137,2,83.656,830,3734,1578,15.0,306,34997,0,3,9,Yanert Glacier,2904,1400,33.4624,50.1936,hf_millan,212.78974540540216
52.41585822695668,-4.147578534031414,-72.41207491556126,RGI60-01.00044,G213308E63711N,-146.692153931,63.710952759,2,52.215,1015,4141,1826,16.0,19,19942,0,9,9,Hayes Glacier,3126,1600,20.886000000000003,31.329,hf_millan,217.3988884249594
25.533514908400946,-5.827879581151833,-38.85338941905444,RGI60-01.00045,G212534E63551N,-147.466,63.551,2,32.959,978,2658,1902,12.0,189,13482,0,9,9,,1680,1800,13.183600000000002,19.7754,hf_millan,148.80625016970578
75.77995320450863,-4.2964659685863875,-38.321447674534774,RGI60-01.00046,G212723E63542N,-147.277,63.542,2,193.423,844,3472,1613,10.0,213,42681,0,3,9,West Fork Glacier,2628,1450,77.3692,116.0538,hf_millan,325.5859900442403
29.962228830903094,-2.219131762652705,-72.41207491556126,RGI60-01.00050,G213608E63448N,-146.392,63.448,2,1.283,1687,2457,2036,16.0,112,2840,0,9,9,,770,2000,0.5132,0.7697999999999999,hf_millan,66.49013367852568
23.208727711019463,-1.467604712041885,22.835626252695253,RGI60-01.00065,G213961E63370N,-146.039,63.37,2,1.125,1593,2217,1869,20.0,126,1795,0,9,9,,624,1800,0.45,0.6749999999999999,hf_millan,34.061238149189236
29.246388515298747,-1.5668630017452008,22.835626252695253,RGI60-01.00066,G213992E63379N,-146.008,63.379,2,1.285,1629,2176,1887,20.0,199,1874,0,9,9,,547,1850,0.514,0.7709999999999999,hf_millan,45.82508409928736
26.83800767664637,-3.75054537521815,32.05915172849031,RGI60-01.00068,G214030E63391N,-145.97,63.391,2,11.803,1071,2329,1704,15.0,340,6015,0,9,9,,1258,1600,4.7212000000000005,7.0818,hf_millan,100.65716557171525
15.6821456077149,-3.3322425828970332,-21.684762765535744,RGI60-01.00077,G213819E63379N,-146.181,63.379,2,2.13,1430,2252,1958,17.0,181,2331,0,9,9,,822,1900,0.852,1.2779999999999998,hf_millan,52.256713385219264
30.28261907104415,-2.850130890052356,32.05915172849031,RGI60-01.00080,G213556E63343N,-146.443939209,63.342880249,2,5.433,1198,2190,1681,15.0,218,6321,0,9,9,,992,1600,2.1732,3.2598,hf_millan,86.3094280460715
44.88017196926971,-1.7299301919720769,139.0983764754631,RGI60-01.00118,G212465E63646N,-147.535,63.646,2,3.544,1606,2570,1947,19.0,131,3223,0,9,9,,964,1850,1.4176000000000002,2.1264,hf_millan,77.63956451053858
20.132120319282055,-4.048320244328098,-24.636225304812815,RGI60-01.00119,G212299E63567N,-147.701,63.567,2,7.579,1129,2506,1805,23.0,324,4741,0,9,9,,1377,1700,3.0316,4.5474,hf_millan,81.5012702497986
40.35924888695026,-1.4959642233856894,-72.41207491556126,RGI60-01.00122,G212216E63525N,-147.784,63.525,2,1.616,1489,2150,1779,16.0,192,2800,0,9,9,,661,1700,0.6464000000000001,0.9696,hf_millan,60.375992417596294
34.22911751485563,-1.7370200698080278,22.835626252695253,RGI60-01.00125,G212411E63646N,-147.589,63.646,2,1.665,1655,2493,1946,20.0,240,2598,0,9,9,,838,1900,0.666,0.999,hf_millan,59.45666409512171
